Barking and Dagenham
Reference Number,Recieved,Validated,Status,Description,Url
16/00825/PRIOR6,Sun 29 May 2016,Sun 29 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 5.0 metres; height to eaves and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O81F5KBL01Z00
16/00824/PRIOR6,Sat 28 May 2016,Sat 28 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves: 2.8 metres and maximum height: 3.8 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O81ENPBL01Z00
16/00816/PRIOR6,Thu 26 May 2016,Thu 26 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; eaves height and maximum height: 2.95 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7TZYRBL01Z00
16/00806/PRIOR6,Wed 25 May 2016,Wed 25 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves: 2.7 metres and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7S80XBL01Z00
16/00840/PRIOR6,Wed 01 Jun 2016,Wed 01 Jun 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 4.5 metres; height to eaves: 2.68 metres and maximum height: 3.8 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O854FABL01Z00
16/00842/PRIOR6,Wed 01 Jun 2016,Wed 01 Jun 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 5.0 metres; height to eaves: 2.8 metres and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O856LEBL01Z00
16/00836/PRIOR6,Wed 01 Jun 2016,Wed 01 Jun 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O83B1ZBL01Z00
16/00835/PRIOR6,Tue 31 May 2016,Tue 31 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O83AMOBL01Z00
16/00833/PRIOR6,Tue 31 May 2016,Tue 31 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8396GBL01Z00
16/00823/PRIOR6,Mon 30 May 2016,Mon 30 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 4.0 metres; height to eaves: 2.895 metres and maximum height: 3.048 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O81E28BL01Z00
16/00825/PRIOR6,Sun 29 May 2016,Sun 29 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 5.0 metres; height to eaves and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O81F5KBL01Z00
16/00824/PRIOR6,Sat 28 May 2016,Sat 28 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves: 2.8 metres and maximum height: 3.8 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O81ENPBL01Z00
16/00816/PRIOR6,Thu 26 May 2016,Thu 26 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; eaves height and maximum height: 2.95 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7TZYRBL01Z00
16/00806/PRIOR6,Wed 25 May 2016,Wed 25 May 2016,Unknown,Application for prior approval of proposed single storey rear extension (depth: 6.0 metres; height to eaves: 2.7 metres and maximum height: 3.0 metres).,http://paplan.lbbd.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7S80XBL01Z00
""
